ARO Accession	CVTERM ID
ARO:3005099	43314
ARO:3002523	38923
ARO:3002524	38924
ARO:3002525	38925
ARO:3002526	38926
ARO:3002527	38927
ARO:3004628	42613
ARO:3003988	40870
ARO:3002528	38928
ARO:3002530	38930
ARO:3002600	39000
ARO:3002531	38931
ARO:3002529	38929
ARO:3002533	38933
ARO:3002534	38934
ARO:3002535	38935
ARO:3004623	42605
ARO:3004621	42600
ARO:3005085	43296
ARO:3002536	38936
ARO:3002537	38937
ARO:3002538	38938
ARO:3002539	38939
ARO:3005061	43265
ARO:3002543	38943
ARO:3002540	38940
ARO:3002541	38941
ARO:3002542	38942
ARO:3002544	38944
ARO:3002583	38983
ARO:3002584	38984
ARO:3002599	38999
ARO:3002585	38985
ARO:3002586	38986
ARO:3003989	40871
ARO:3002588	38988
ARO:3002587	38987
ARO:3004641	42650
ARO:3004638	42632
ARO:3002545	38945
ARO:3002571	38971
ARO:3002572	38972
ARO:3002573	38973
ARO:3002574	38974
ARO:3002575	38975
ARO:3003677	40309
ARO:3003199	39782
ARO:3003200	39784
ARO:3007204	45948
ARO:3002546	38946
ARO:3003676	40308
ARO:3002581	38981
ARO:3002582	38982
ARO:3002576	38976
ARO:3002577	38977
ARO:3002578	38978
ARO:3002579	38979
ARO:3002580	38980
ARO:3002547	38947
ARO:3007770	46553
ARO:3007771	46554
ARO:3005112	43327
ARO:3005114	43329
ARO:3005115	43331
ARO:3005116	43332
ARO:3005117	43333
ARO:3005118	43334
ARO:3005119	43335
ARO:3002592	38992
ARO:3002593	38993
ARO:3002591	38991
ARO:3002549	38949
ARO:3002597	38997
ARO:3002553	38953
ARO:3002554	38954
ARO:3002555	38955
ARO:3002556	38956
ARO:3002594	38994
ARO:3002595	38995
ARO:3002596	38996
ARO:3002589	38989
ARO:3002590	38990
ARO:3002557	38957
ARO:3002558	38958
ARO:3004635	42624
ARO:3004629	42615
ARO:3002559	38959
ARO:3002560	38960
ARO:3002561	38961
ARO:3002562	38962
ARO:3002563	38963
ARO:3002564	38964
ARO:3002565	38965
ARO:3002566	38966
ARO:3002567	38967
ARO:3002568	38968
ARO:3002569	38969
ARO:3002570	38970
ARO:3002628	39028
ARO:3002601	39001
ARO:3004692	42744
ARO:3002611	39011
ARO:3002612	39012
ARO:3002613	39013
ARO:3002614	39014
ARO:3002615	39015
ARO:3002616	39016
ARO:3002617	39017
ARO:3002602	39002
ARO:3002618	39018
ARO:3002619	39019
ARO:3002620	39020
ARO:3002621	39021
ARO:3003197	39780
ARO:3004682	42731
ARO:3002603	39003
ARO:3002604	39004
ARO:3002605	39005
ARO:3002606	39006
ARO:3002622	39022
ARO:3002607	39007
ARO:3002608	39008
ARO:3004704	42757
ARO:3002609	39009
ARO:3002627	39027
ARO:3004683	42732
ARO:3007669	46449
ARO:3006863	45325
ARO:3003942	40695
ARO:3000753	37133
ARO:3000768	37148
ARO:3001815	38215
ARO:3006228	44690
ARO:3006229	44691
ARO:3006230	44692
ARO:3006231	44693
ARO:3001816	38216
ARO:3001817	38217
ARO:3001818	38218
ARO:3001819	38219
ARO:3006232	44694
ARO:3006233	44695
ARO:3004359	41531
ARO:3004573	42487
ARO:3004574	42490
ARO:3004578	42502
ARO:3003796	40481
ARO:3004577	42497
ARO:3003817	40507
ARO:3003809	40495
ARO:3003818	40508
ARO:3000216	36355
ARO:3000491	36630
ARO:3000499	36638
ARO:3000502	36641
ARO:3000656	37000
ARO:3001821	38221
ARO:3001832	38232
ARO:3001834	38234
ARO:3001835	38235
ARO:3001836	38236
ARO:3001837	38237
ARO:3001827	38227
ARO:3001838	38238
ARO:3001839	38239
ARO:3001840	38240
ARO:3001822	38222
ARO:3001841	38241
ARO:3001842	38242
ARO:3001843	38243
ARO:3001828	38228
ARO:3001844	38244
ARO:3001845	38245
ARO:3001847	38247
ARO:3001848	38248
ARO:3001849	38249
ARO:3001823	38223
ARO:3001850	38250
ARO:3001851	38251
ARO:3001852	38252
ARO:3001853	38253
ARO:3001854	38254
ARO:3001855	38255
ARO:3003171	39748
ARO:3003172	39749
ARO:3003655	40265
ARO:3006234	44696
ARO:3001829	38229
ARO:3006235	44697
ARO:3006236	44698
ARO:3006237	44699
ARO:3006238	44700
ARO:3006239	44701
ARO:3006240	44702
ARO:3006241	44703
ARO:3006242	44704
ARO:3006243	44705
ARO:3006244	44706
ARO:3001824	38224
ARO:3006245	44707
ARO:3006246	44708
ARO:3006247	44709
ARO:3006248	44710
ARO:3006249	44711
ARO:3006250	44712
ARO:3006251	44713
ARO:3006252	44714
ARO:3006253	44715
ARO:3006254	44716
ARO:3001825	38225
ARO:3006255	44717
ARO:3006256	44718
ARO:3006257	44719
ARO:3006258	44720
ARO:3006259	44721
ARO:3006260	44722
ARO:3006261	44723
ARO:3006262	44724
ARO:3006263	44725
ARO:3006264	44726
ARO:3001830	38230
ARO:3006265	44727
ARO:3006266	44728
ARO:3006267	44729
ARO:3006268	44730
ARO:3006269	44731
