      4 ARO_Index
      1 gb|AAAGNS010000063.1|-|144-1005|ARO:3000966|TEM-103
      1 gb|AB049569.1|+|0-861|ARO:3000958|TEM-91
      1 gb|AB177384.1|+|0-876|ARO:3001898|CTX-M-36
      1 gb|AB700703.1|+|161-1022|ARO:3001057|TEM-198
      1 gb|AF024602.1|+|3155-3992|ARO:3002660|APH(6)-Id
      1 gb|AF047171.1|+|135-996|ARO:3000929|TEM-60
      1 gb|AF062386.1|+|31-862|ARO:3000928|TEM-59
      1 gb|AF091113.2|+|450-1311|ARO:3000934|TEM-67
      1 gb|AF093512.1|+|197-1058|ARO:3000882|TEM-10
      1 gb|AF104441.1|+|193-1054|ARO:3000922|TEM-53
      1 gb|AF104442.1|+|193-1054|ARO:3000923|TEM-54
      1 gb|AF143804.1|+|0-861|ARO:3000959|TEM-92
      1 gb|AF157553.1|+|147-1008|ARO:3000938|TEM-72
      1 gb|AF188199.1|+|214-1075|ARO:3000936|TEM-70
      1 gb|AF190692.1|+|208-1069|ARO:3000946|TEM-79
      1 gb|AF190693.1|+|208-1069|ARO:3000944|TEM-78
      1 gb|AF190694.1|+|208-1069|ARO:3000942|TEM-76
      1 gb|AF203816.1|+|210-1071|ARO:3000937|TEM-71
      1 gb|AF250872.1|+|0-861|ARO:3000954|TEM-87
      1 gb|AF305837.1|+|0-876|ARO:3001875|CTX-M-12
      1 gb|AF313472.2|+|15593-16397|ARO:3002639|APH(3'')-Ib
      1 gb|AF332513.1|+|103-964|ARO:3000931|TEM-63
      1 gb|AF347054.1|+|208-1069|ARO:3000947|TEM-80
      1 gb|AF351241.1|+|89-950|ARO:3000957|TEM-90
      1 gb|AF427127.1|+|208-1069|ARO:3000948|TEM-81
      1 gb|AF427128.1|+|208-1069|ARO:3000949|TEM-82
      1 gb|AF427129.1|+|208-1069|ARO:3000950|TEM-83
      1 gb|AF427130.1|+|208-1069|ARO:3000951|TEM-84
      1 gb|AF468003.1|+|0-861|ARO:3000974|TEM-111
      1 gb|AF488377.1|+|62-938|ARO:3001885|CTX-M-23
      1 gb|AF495873.1|+|0-861|ARO:3000964|TEM-101
      1 gb|AF506748.1|+|38-899|ARO:3000971|TEM-108
      1 gb|AF516719.1|+|214-1075|ARO:3000967|TEM-104
      1 gb|AF516720.1|+|214-1075|ARO:3000968|TEM-105
      1 gb|AF527798.1|+|0-783|ARO:3000879|TEM-7
      1 gb|AF534183.1|+|2970-4245|ARO:3000165|tet(A)
      1 gb|AF535127.1|+|208-1069|ARO:3000978|TEM-115
      1 gb|AJ012256.1|+|208-1069|ARO:3000939|TEM-73
      1 gb|AJ239002.1|+|0-861|ARO:3000935|TEM-68
      1 gb|AJ277414.1|+|0-861|ARO:3000952|TEM-85
      1 gb|AJ277415.1|+|0-861|ARO:3000953|TEM-86
      1 gb|AJ308558.1|+|181-1042|ARO:3000962|TEM-95
      1 gb|AJ318093.1|+|0-861|ARO:3000960|TEM-93
      1 gb|AJ318094.1|+|0-861|ARO:3000961|TEM-94
      1 gb|AJ437107.1|+|208-1069|ARO:3000900|TEM-30
      1 gb|AJ549244.1|+|0-876|ARO:3001890|CTX-M-28
      1 gb|AJ557142.1|+|0-876|ARO:3001894|CTX-M-32
      1 gb|AJ634602.1|-|7839-8700|ARO:3000999|TEM-135
      1 gb|AJ704396.1|+|0-876|ARO:3001956|CTX-M-96
      1 gb|AJ746225.1|+|0-861|ARO:3000993|TEM-129
      1 gb|AJ866988.1|+|0-861|ARO:3000994|TEM-130
      1 gb|AL513383.1|+|161910-162771|ARO:3000873|TEM-1
      1 gb|AM049399.1|+|0-861|ARO:3001007|TEM-144
      1 gb|AM087454.1|+|208-1069|ARO:3001015|TEM-148
      1 gb|AM183304.1|+|208-1069|ARO:3001017|TEM-150
      1 gb|AM286274.1|+|0-861|ARO:3001001|TEM-137
      1 gb|AM411407.1|+|0-876|ARO:3001921|CTX-M-60
      1 gb|AM743197.2|-|2076-2937|ARO:3001044|TEM-181
      1 gb|AM849805.1|+|262-1123|ARO:3000886|TEM-15
      1 gb|AM941159.1|+|208-1069|ARO:3001022|TEM-156
      4 gb|AP009048.1|+|1621287-1621671|ARO:3000263|marA
      4 gb|AP009048.1|+|2586250-2589364|ARO:3000491|acrD
      4 gb|AP009048.1|+|2810082-2811255|ARO:3000027|emrA
      4 gb|AP009048.1|+|3974604-3975429|ARO:3000508|gadX
      4 gb|AP009048.1|-|3980025-3981183|ARO:3000795|mdtE
      4 gb|AP009048.1|-|4153663-4154296|ARO:3000518|CRP
      4 gb|AP009048.1|-|4303042-4304509|ARO:3003550|mdtP
      4 gb|AP009048.1|-|4304505-4306557|ARO:3003549|mdtO
      4 gb|AP009048.1|-|4306556-4307588|ARO:3003548|mdtN
      4 gb|AP009048.1|-|4338624-4340268|ARO:3003576|eptA
      4 gb|ASTU01000063.1|+|61248-62787|ARO:3004597|Kpne_KpnH
      1 gb|AY005110.1|+|0-846|ARO:3001874|CTX-M-11
      1 gb|AY027590.1|+|112-973|ARO:3000955|TEM-88
      1 gb|AY039040.1|+|188-1022|ARO:3000956|TEM-89
      1 gb|AY040093.1|+|68-929|ARO:3000965|TEM-102
      1 gb|AY044436.1|+|1435-2311|ARO:3001878|CTX-M-15
      1 gb|AY055428.1|-|20268-21084|ARO:3000412|sul2
      1 gb|AY072920.1|+|0-861|ARO:3000973|TEM-110
      1 gb|AY080894.1|+|3-879|ARO:3001884|CTX-M-22
      1 gb|AY092401.1|+|0-861|ARO:3000963|TEM-96
      1 gb|AY101578.1|+|214-1075|ARO:3000969|TEM-106
      1 gb|AY101764.1|+|206-1067|ARO:3000970|TEM-107
      1 gb|AY130282.1|+|0-762|ARO:3000980|TEM-117
      1 gb|AY130284.1|+|0-783|ARO:3000941|TEM-75
      1 gb|AY130285.1|+|0-783|ARO:3000981|TEM-118
      1 gb|AY238472.1|-|12-888|ARO:3001895|CTX-M-33
      1 gb|AY243512.1|+|208-1069|ARO:3000982|TEM-120
      1 gb|AY267213.1|+|0-876|ARO:3001891|CTX-M-29
      1 gb|AY271267.1|+|0-861|ARO:3000983|TEM-121
      1 gb|AY292654.1|+|0-876|ARO:3001892|CTX-M-30
      1 gb|AY307100.1|+|0-861|ARO:3000984|TEM-122
      1 gb|AY327539.1|+|0-858|ARO:3000985|TEM-123
